Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK106198300921,Aberdeen-Angus,Male,18/04/2016,03/02/2020,Market,,46,
UK106710502626,HOLSTEIN FRIESIAN,Female,01/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK106710602634,HOLSTEIN FRIESIAN,Female,14/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK106710602641,HOLSTEIN FRIESIAN,Female,06/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK106710302645,HOLSTEIN FRIESIAN,Female,17/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,32,
UK106710402653,HOLSTEIN FRIESIAN,Female,08/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK106710602655,HOLSTEIN FRIESIAN,Female,10/11/2017,29/11/2019,Market,,24,
UK106710402660,HOLSTEIN FRIESIAN,Female,15/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK106710502661,HOLSTEIN FRIESIAN,Female,30/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK106710202665,HOLSTEIN FRIESIAN,Female,09/12/2017,29/11/2019,Market,,24,
UK106710302666,HOLSTEIN FRIESIAN,Female,10/12/2017,29/11/2019,Market,,23,
UK106710402667,HOLSTEIN FRIESIAN,Female,10/12/2017,23/02/2020,31/377/0042 Nafferton Farm,,26,
UK106710702670,HOLSTEIN FRIESIAN,Female,13/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK106710202672,HOLSTEIN FRIESIAN,Female,15/12/2017,29/11/2019,Market,,23,
UK106710202679,HOLSTEIN FRIESIAN,Female,05/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710402681,HOLSTEIN FRIESIAN,Female,09/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710602683,HOLSTEIN FRIESIAN,Female,13/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710202686,HOLSTEIN FRIESIAN,Female,16/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710402688,HOLSTEIN FRIESIAN,Female,21/01/2018,27/05/2020,linden foods,,28,
UK106710702691,HOLSTEIN FRIESIAN,Female,22/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK106710602697,HOLSTEIN FRIESIAN,Female,05/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK106710502710,HOLSTEIN FRIESIAN,Female,16/03/2018,,,01/11/2018,7,
UK106710502717,HOLSTEIN FRIESIAN,Female,21/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK106710702719,HOLSTEIN FRIESIAN,Female,25/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK106710102720,HOLSTEIN FRIESIAN,Female,25/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK106710502738,HOLSTEIN FRIESIAN,Female,12/04/2018,14/05/2020,31/377/0042 Nafferton Farm,,25,
UK106710402737,HOLSTEIN FRIESIAN,Female,12/04/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK106710302743,HOLSTEIN FRIESIAN,Female,19/04/2018,14/05/2020,31/377/0042 Nafferton Farm,,25,
UK106710602746,HOLSTEIN FRIESIAN,Female,22/04/2018,14/05/2020,31/377/0042 Nafferton Farm,,25,
UK106710702754,HOLSTEIN FRIESIAN,Female,05/05/2018,14/05/2020,31/377/0042 Nafferton Farm,,24,
UK106710302757,HOLSTEIN FRIESIAN,Female,13/05/2018,14/05/2020,31/377/0042 Nafferton Farm,,24,
UK106710402758,HOLSTEIN FRIESIAN,Female,14/05/2018,14/05/2020,31/377/0042 Nafferton Farm,,24,
UK106710502759,HOLSTEIN FRIESIAN,Female,15/05/2018,12/02/2020,31/377/0042 Nafferton Farm,,21,
UK106710102566,Holstein,Female,24/04/2017,12/02/2020,31/377/0042 Nafferton Farm,,34,
UK106710402639,HOLSTEIN FRIESIAN,Female,02/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK106710102678,HOLSTEIN FRIESIAN,Female,04/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189402659,Swedish Red X,Female,12/10/2016,12/02/2020,31/377/0042 Nafferton Farm,,40,
UK107189602675,Swedish Red X,Female,24/10/2016,12/02/2020,31/377/0042 Nafferton Farm,,40,
UK107189702683,Swedish Red X,Female,03/11/2016,12/02/2020,31/377/0042 Nafferton Farm,,39,
UK107189702774,Swedish Red X,Female,02/03/2017,12/02/2020,31/377/0042 Nafferton Farm,,35,
UK107189202783,BRITISH FRIESIAN X,Female,15/03/2017,04/02/2021,31/377/0042 Nafferton Farm,,47,
UK107189302833,HOLSTEIN FRIESIAN,Female,29/08/2017,27/05/2020,linden foods,,33,
UK107189102852,BRITISH FRIESIAN X,Female,27/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189202860,Swedish Red X,Female,10/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189302861,HOLSTEIN FRIESIAN,Female,11/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189502863,HOLSTEIN FRIESIAN X,Female,11/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189702865,HOLSTEIN FRIESIAN,Female,15/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189202867,HOLSTEIN FRIESIAN X,Female,18/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189402869,Swedish Red X,Female,23/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189502870,Swedish Red X,Female,23/10/2017,29/11/2019,Market,,25,
UK107189602871,Swedish Red X,Female,23/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189702872,HOLSTEIN FRIESIAN,Female,24/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189102873,HOLSTEIN FRIESIAN X,Female,28/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189202874,Swedish Red X,Female,28/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189302875,Swedish Red X,Female,28/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189402876,Swedish Red X,Female,28/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189602878,Swedish Red X,Female,30/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189402883,HOLSTEIN FRIESIAN,Female,07/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189502884,HOLSTEIN FRIESIAN,Female,07/11/2017,14/05/2020,31/377/0042 Nafferton Farm,,30,
UK107189702886,BRITISH FRIESIAN X,Female,07/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK107189202888,HOLSTEIN FRIESIAN,Female,08/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189302889,HOLSTEIN FRIESIAN X,Female,12/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189602892,HOLSTEIN FRIESIAN,Female,17/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189102894,HOLSTEIN FRIESIAN,Female,21/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189402897,HOLSTEIN FRIESIAN,Female,22/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189702900,HOLSTEIN FRIESIAN,Female,22/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK107189102901,HOLSTEIN FRIESIAN,Female,23/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189202902,HOLSTEIN FRIESIAN,Female,24/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189402911,HOLSTEIN FRIESIAN,Female,05/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK107189402918,HOLSTEIN FRIESIAN,Female,23/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189602920,HOLSTEIN FRIESIAN,Female,28/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189302924,HOLSTEIN FRIESIAN,Female,12/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189402925,HOLSTEIN FRIESIAN,Female,14/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189502926,HOLSTEIN FRIESIAN,Female,14/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189602927,Swedish Red X,Female,14/01/2018,27/05/2020,linden foods,,28,
UK107189102929,HOLSTEIN FRIESIAN,Female,18/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK107189502933,HOLSTEIN FRIESIAN,Female,30/01/2018,14/05/2020,31/377/0042 Nafferton Farm,,27,
UK107189602934,HOLSTEIN FRIESIAN,Female,30/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189702935,HOLSTEIN FRIESIAN,Female,30/01/2018,14/05/2020,31/377/0042 Nafferton Farm,,27,
UK107189102936,NORWEGIAN RED X,Female,30/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189202937,HOLSTEIN FRIESIAN,Female,01/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189302938,NORWEGIAN RED X,Female,01/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189502940,HOLSTEIN FRIESIAN,Female,01/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189402946,HOLSTEIN FRIESIAN,Female,09/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189602948,HOLSTEIN FRIESIAN X,Female,09/02/2018,27/05/2020,linden foods,,27,
UK107189302910,HOLSTEIN FRIESIAN,Female,04/12/2017,23/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189202895,HOLSTEIN FRIESIAN,Female,21/11/2017,23/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189502898,HOLSTEIN FRIESIAN,Female,22/11/2017,23/02/2020,31/377/0042 Nafferton Farm,,27,
UK107189202951,HOLSTEIN FRIESIAN,Female,11/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189302952,HOLSTEIN FRIESIAN,Female,11/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
UK107189602962,HOLSTEIN FRIESIAN,Female,26/02/2018,12/02/2020,31/377/0042 Nafferton Farm,,23,
UK107189702963,HOLSTEIN FRIESIAN,Female,26/02/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK107189702977,HOLSTEIN FRIESIAN,Female,07/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK107189202979,HOLSTEIN FRIESIAN,Female,09/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK107189302980,HOLSTEIN FRIESIAN,Female,09/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK107189402988,HOLSTEIN FRIESIAN,Female,18/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,27,
UK107189203000,HOLSTEIN FRIESIAN,Female,29/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK107189303001,HOLSTEIN FRIESIAN X,Female,30/03/2018,08/06/2020,31/377/0042 Nafferton Farm,,26,
UK107189403009,HOLSTEIN FRIESIAN,Female,25/04/2018,08/06/2020,31/377/0042 Nafferton Farm,,25,
UK107189503010,HOLSTEIN FRIESIAN,Female,27/04/2018,08/06/2020,31/377/0042 Nafferton Farm,,25,
UK107189603011,HOLSTEIN FRIESIAN,Female,29/04/2018,14/05/2020,31/377/0042 Nafferton Farm,,24,
UK107189103013,HOLSTEIN FRIESIAN,Female,13/05/2018,08/06/2020,31/377/0042 Nafferton Farm,,25,
UK107189703019,HOLSTEIN FRIESIAN,Female,30/05/2018,14/05/2020,31/377/0042 Nafferton Farm,,23,
UK107189103020,HOLSTEIN FRIESIAN,Female,30/05/2018,,,21/02/2020,21,
UK107189203021,HOLSTEIN FRIESIAN,Female,02/06/2018,14/05/2020,31/377/0042 Nafferton Farm,,23,
UK107189703026,Holstein,Female,26/06/2018,08/06/2020,31/377/0042 Nafferton Farm,,23,
UK107189103027,Holstein,Female,26/06/2018,08/06/2020,31/377/0042 Nafferton Farm,,23,
UK107189303029,Holstein,Female,26/06/2018,27/05/2020,linden foods,,23,
UK107189203035,Holstein,Female,27/06/2018,08/06/2020,31/377/0042 Nafferton Farm,,23,
UK107189503038,Holstein,Female,27/06/2018,12/02/2020,31/377/0042 Nafferton Farm,,19,
UK107189703047,HOLSTEIN FRIESIAN,Female,10/07/2018,,,08/02/2019,7,
UK106710202518,HOLSTEIN FRIESIAN,Female,04/02/2017,11/02/2020,31/377/0042 Nafferton Farm,,36,
UK106710602536,HOLSTEIN FRIESIAN,Female,05/03/2017,29/11/2019,Market,,33,
UK106710402541,HOLSTEIN FRIESIAN,Female,09/03/2017,,31/377/0042 Nafferton Farm,19/11/2020,45,
UK106710502542,HOLSTEIN FRIESIAN,Female,09/03/2017,12/02/2020,31/377/0042 Nafferton Farm,,35,
UK106710302554,HOLSTEIN FRIESIAN,Female,26/03/2017,12/02/2020,31/377/0042 Nafferton Farm,,35,
UK106710402562,Holstein,Female,16/04/2017,12/02/2020,31/377/0042 Nafferton Farm,,34,
UK106710502563,HOLSTEIN FRIESIAN,Female,20/04/2017,12/02/2020,31/377/0042 Nafferton Farm,,34,
UK106710202567,Holstein,Female,02/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK106710302568,Holstein,Female,05/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK106710402569,Holstein,Female,07/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK106710602571,Holstein,Female,12/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK106710102580,Holstein,Female,04/06/2017,08/06/2020,31/377/0042 Nafferton Farm,,36,
UK106710602585,HOLSTEIN FRIESIAN,Female,16/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK106710102587,HOLSTEIN FRIESIAN,Female,16/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK106710302589,HOLSTEIN FRIESIAN,Female,22/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK106710102594,HOLSTEIN FRIESIAN,Female,25/06/2017,29/11/2019,Market,,29,
UK106710202602,HOLSTEIN FRIESIAN,Female,08/07/2017,27/05/2020,linden foods,,35,
UK106710302603,HOLSTEIN FRIESIAN,Female,10/07/2017,04/02/2021,31/377/0042 Nafferton Farm,,43,
UK106710502605,HOLSTEIN FRIESIAN,Female,13/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,31,
UK106710602606,HOLSTEIN FRIESIAN,Female,14/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,31,
UK106710402611,HOLSTEIN FRIESIAN,Female,24/07/2017,,,,45,
UK106710102615,HOLSTEIN FRIESIAN,Female,28/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,30,
UK107189702760,BRITISH FRIESIAN X,Female,06/02/2017,12/02/2020,31/377/0042 Nafferton Farm,,36,
UK107189602766,BRITISH FRIESIAN X,Female,12/02/2017,12/02/2020,31/377/0042 Nafferton Farm,,36,
UK107189402771,HOLSTEIN FRIESIAN X,Female,20/02/2017,12/02/2020,31/377/0042 Nafferton Farm,,36,
UK107189502800,BRITISH FRIESIAN X,Female,29/04/2017,29/11/2019,Market,,31,
UK107189702809,BRITISH FRIESIAN X,Female,23/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK107189202811,HOLSTEIN FRIESIAN,Female,24/05/2017,12/02/2020,31/377/0042 Nafferton Farm,,33,
UK107189302812,HOLSTEIN FRIESIAN X,Female,01/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK107189602815,HOLSTEIN FRIESIAN,Female,18/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK107189702816,HOLSTEIN FRIESIAN,Female,18/06/2017,12/02/2020,31/377/0042 Nafferton Farm,,32,
UK107189102817,HOLSTEIN FRIESIAN,Female,22/07/2017,29/11/2019,Market,,28,
UK107189202818,HOLSTEIN FRIESIAN,Female,22/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,31,
UK107189402820,HOLSTEIN FRIESIAN,Female,23/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,31,
UK107189602822,BRITISH FRIESIAN X,Female,29/07/2017,12/02/2020,31/377/0042 Nafferton Farm,,30,
UK107189102824,HOLSTEIN FRIESIAN X,Female,05/08/2017,12/02/2020,31/377/0042 Nafferton Farm,,30,
UK107189602829,BRITISH FRIESIAN X,Female,14/08/2017,08/06/2020,31/377/0042 Nafferton Farm,,34,
UK106710302540,HOLSTEIN FRIESIAN,Female,09/03/2017,23/02/2020,31/377/0042 Nafferton Farm,,36,
UK106710502521,HOLSTEIN FRIESIAN,Female,06/02/2017,23/02/2020,31/377/0042 Nafferton Farm,,37,
UK107189203049,HOLSTEIN FRIESIAN,Female,15/07/2018,14/05/2020,31/377/0042 Nafferton Farm,,22,
UK107189503052,Holstein,Female,15/07/2018,14/05/2020,31/377/0042 Nafferton Farm,,22,
UK107189603053,Holstein,Female,15/07/2018,14/05/2020,31/377/0042 Nafferton Farm,,22,
UK107189203056,Holstein,Female,27/07/2018,14/05/2020,31/377/0042 Nafferton Farm,,21,
UK107189403058,Holstein,Female,28/07/2018,12/02/2020,31/377/0042 Nafferton Farm,,18,
UK107189503059,HOLSTEIN FRIESIAN,Female,20/07/2018,14/05/2020,31/377/0042 Nafferton Farm,,22,
UK107189103062,HOLSTEIN FRIESIAN,Female,25/07/2018,,,17/10/2019,14,
UK107189503066,HOLSTEIN FRIESIAN,Female,02/08/2018,14/05/2020,31/377/0042 Nafferton Farm,,21,
UK107189203070,Holstein,Female,09/08/2018,14/05/2020,31/377/0042 Nafferton Farm,,21,
UK107189303071,HOLSTEIN FRIESIAN,Female,09/08/2018,14/05/2020,31/377/0042 Nafferton Farm,,21,
UK107189503087,HOLSTEIN FRIESIAN X,Female,24/08/2018,,,,32,
UK107189203091,HOLSTEIN FRIESIAN,Female,30/08/2018,14/05/2020,31/377/0042 Nafferton Farm,,20,
UK107189503094,HOLSTEIN FRIESIAN,Female,04/09/2018,,,27/11/2019,14,
UK107189603095,HOLSTEIN FRIESIAN,Female,10/09/2018,14/05/2020,31/377/0042 Nafferton Farm,,20,
UK107189502660,Swedish Red X,Female,13/10/2016,12/02/2020,31/377/0042 Nafferton Farm,,40,
UK107189502758,Swedish Red X,Female,30/01/2017,12/02/2020,31/377/0042 Nafferton Farm,,36,
UK107189302777,Swedish Red X,Female,08/03/2017,08/06/2020,31/377/0042 Nafferton Farm,,39,
UK107189102789,BRITISH FRIESIAN X,Female,23/03/2017,08/06/2020,31/377/0042 Nafferton Farm,,39,
UK107189302805,BRITISH FRIESIAN X,Female,09/05/2017,29/11/2019,Market,,31,
UK107189502835,BRITISH FRIESIAN X,Female,11/09/2017,08/06/2020,31/377/0042 Nafferton Farm,,33,
UK107189602836,BRITISH FRIESIAN X,Female,11/09/2017,08/06/2020,31/377/0042 Nafferton Farm,,33,
UK107189102838,HOLSTEIN FRIESIAN,Female,13/09/2017,08/06/2020,31/377/0042 Nafferton Farm,,33,
UK107189402841,HOLSTEIN FRIESIAN,Female,13/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK107189402848,HOLSTEIN FRIESIAN X,Female,21/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK107189702851,HOLSTEIN FRIESIAN,Female,27/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189302854,HOLSTEIN FRIESIAN,Female,01/10/2017,,,18/03/2020,29,
UK107189402855,HOLSTEIN FRIESIAN,Female,01/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189502856,HOLSTEIN FRIESIAN,Female,01/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,32,
UK107189602857,HOLSTEIN FRIESIAN,Female,04/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK107189402736,HOLSTEIN FRIESIAN X,Female,22/12/2016,23/02/2020,31/377/0042 Nafferton Farm,,38,
UK107189502849,BRITISH FRIESIAN X,Female,25/09/2017,23/02/2020,31/377/0042 Nafferton Farm,,29,
UK107189703096,HOLSTEIN FRIESIAN,Female,11/09/2018,,,24/12/2020,27,
UK107189503101,HOLSTEIN FRIESIAN,Female,18/09/2018,14/05/2020,31/377/0042 Nafferton Farm,,20,
UK107189103104,HOLSTEIN FRIESIAN,Female,23/09/2018,23/02/2021,31/377/0042 Nafferton Farm,,29,
UK107189203105,HOLSTEIN FRIESIAN,Female,26/09/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189303106,HOLSTEIN FRIESIAN,Female,28/09/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189403107,HOLSTEIN FRIESIAN,Female,30/09/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189103111,HOLSTEIN FRIESIAN,Female,05/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189203112,HOLSTEIN FRIESIAN,Female,10/10/2018,23/02/2021,31/377/0042 Nafferton Farm,,28,
UK107189403114,HOLSTEIN FRIESIAN,Female,15/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189703117,HOLSTEIN FRIESIAN,Female,16/10/2018,23/02/2021,31/377/0042 Nafferton Farm,,28,
UK107189203126,HOLSTEIN FRIESIAN,Female,22/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,19,
UK107189303127,HOLSTEIN FRIESIAN,Female,27/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189403128,HOLSTEIN FRIESIAN,Female,27/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189703131,HOLSTEIN FRIESIAN,Female,27/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189403135,HOLSTEIN FRIESIAN,Female,31/10/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189503136,HOLSTEIN FRIESIAN,Female,31/10/2018,23/02/2021,31/377/0042 Nafferton Farm,,28,
UK107189203140,HOLSTEIN FRIESIAN X,Female,05/11/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189603144,HOLSTEIN FRIESIAN,Female,07/11/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
UK107189703145,HOLSTEIN FRIESIAN,Female,08/11/2018,14/05/2020,31/377/0042 Nafferton Farm,,18,
